paragraph_index	text	style_id	outline_level	detected_section	character_count	word_count	contains_figure_reference	contains_table_reference
100	Figure 2. Integrated cross-cohort module atlas. Context-by-module heatmap showing signed module-score deltas across recurrence-trigger, pregnancy-associated UTI, and repaired human urine comparator contexts. The figure highlights recurrent but context-dependent directionality across innate sensing, inflammatory cell-death, myeloid, neutrophil, hormonal, oxidative-stress, and transcriptionally inferred metabolic activity modules.				432	44	True	False
101	Figure 3. Cross-cohort atlas with single-cell UPEC validation.	Heading2			62	8	True	False
102	Figure 3. Cross-cohort atlas with single-cell UPEC validation. Integrated heatmap combining cross-cohort module deltas with GSE252321 single-cell UPEC-versus-control validation deltas. Sample-level single-cell contrasts summarize two control and two UPEC biological samples, whereas cell-level contrasts are interpreted as validation distributions because cells are nested within biological samples.				399	46	True	False
103	Figure 4. Prioritized single-cell-validated UTI host-response modules.	Heading2			70	7	True	False
104	Figure 4. Prioritized single-cell-validated UTI host-response modules. Ranked barplot of modules prioritized by integrated cross-cohort and single-cell validation support. Top modules include neutrophil/NETosis, type-I-interferon/IRF, TLR4/LPS, NLRP3/pyroptosis, TLR5/flagellin, necroptosis, complement/coagulation/antimicrobial defense, NF-kB/MAPK, macrophage/DC activation, glucocorticoid signaling, and oxytocin/pregnancy signaling.				435	48	True	False
105	Figure 5. Pregnancy-associated UTI module architecture.	Heading2			55	6	True	False
106	Figure 5. Pregnancy-associated UTI module architecture. Module-score contrast heatmap for the GSE280297 pregnancy-associated UTI model across bladder, uterus, and placenta contexts. The figure summarizes tissue-specific shifts in innate-sensing, inflammatory cell-death, hormonal-response, oxidative-stress, barrier, and transcriptionally inferred metabolic activity modules.				375	39	True	False
107	Figure 6. Single-cell UPEC validation layer.	Heading2			44	6	True	False
108	Figure 6. Single-cell UPEC validation layer. GSE252321 single-cell module-score validation across Control_1, Control_2, UPEC_1, and UPEC_2 matrices. UPEC-exposed cells showed higher module scores for innate sensing, neutrophil/NETosis, NLRP3/pyroptosis, necroptosis, interferon-like, NF-kB/MAPK, glucocorticoid, and oxytocin/pregnancy-linked modules, while TCA/OXPHOS showed lower single-cell directionality relative to controls.				429	49	True	False
109	Supplementary tables	Heading1			20	2	False	False
110	Table S1. Dataset inclusion status and analysis roles. Source: `07_tables/phaseU12_methods_draft/phaseU12_dataset_inclusion_status_v1.tsv`. Documents included, held, and reserved datasets.				188	19	False	False
111	Table S2. Curated UTI host-response module library. Source: `01_modules/utiomics_host_response_modules_v1_long.tsv`. Defines genes and biological axes for module scoring.				170	19	False	False
112	Table S3. Recurrence and pregnancy-associated UTI module contrasts. Source: `07_tables/phaseU5_module_contrasts/phaseU5_all_module_contrasts_v1.tsv`. Supports recurrence-trigger and pregnancy-associated UTI results.				215	19	False	False
113	Table S4. Repaired human urine comparator module contrast. Source: `07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_human_urine_module_contrast_v1.tsv`. Supports human urine inflammatory comparator results.				217	19	False	False
114	Table S5. Cross-cohort module priority table. Source: `07_tables/phaseU7_integrated_module_atlas/phaseU7_cross_cohort_module_priority_table_v1.tsv`. Supports cross-cohort module ranking.				186	15	False	False
115	Table S6. GSE252321 single-cell sample-level and cell-level module contrasts. Source: `07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_combined_single_cell_validation_contrasts_v1.tsv`. Supports single-cell validation results.				243	18	False	False
116	Table S7. Cross-cohort plus single-cell validation table. Source: `07_tables/phaseU9_cross_cohort_single_cell_validation/phaseU9_cross_cohort_single_cell_validation_table_v1.tsv`. Supports validated and discordant module classification.				236	18	False	False
117	Table S8. Claim and language-boundary traceability. Source: `07_tables/phaseU10_manuscript_results_skeleton/phaseU10_table_to_claim_traceability_v1.tsv; 07_tables/phaseU13_intro_discussion_scaffold/phaseU13_key_language_boundaries_v1.tsv`. Supports claim-level transparency and interpretive boundaries.				302	21	False	False
118	Remaining reference gaps after citation-key cleanup	Heading1			51	6	False	False
119	Date: 2026-07-09				16	2	False	False
120	Gaps carried forward	Heading2			20	3	False	False
121	U16A_GAP_01 (high): Check whether the GSE280297-associated preprint has been peer-reviewed and update citation accordingly. Citation/key: `GSE280297_maternofetal_UTI_preterm`.				175	17	False	False
122	U16A_GAP_02 (medium): Import through Zotero/Crossref to complete the full author list. Citation/key: `Masajtis_Zagajewska_2017_NETs_UTI`.				137	15	False	False
123	U16A_GAP_03 (medium): Import through Zotero/Crossref to complete the full author list and PMID/PMCID if available. Citation/key: `Demirel_2023_NETs_children_UTI`.				162	20	False	False
124	U16A_GAP_04 (medium): Keep as pregnancy/oxytocin biology support only; find a more specific oxytocin-inflammation source if this axis becomes central. Citation/key: `UvnasMoberg_2023_oxytocin_labor_peripartum`.				210	23	False	False
125	U16A_GAP_05 (medium): Add one exact reference on glucocorticoid signaling in pregnancy inflammation or immune regulation before final Discussion polishing. Citation/key: `glucocorticoid_pregnancy_inflammation`.				210	22	False	False
126	Special note	Heading2			12	2	False	False
127	The cleaned drafts retain `Solano_Arck_2020_steroids_pregnancy_fetal_development; Cain_Cidlowski_2017_immune_regulation_glucocorticoids` as a deliberate unresolved key. Do not convert this into a final reference until an exact glucocorticoid/pregnancy-inflammation source is selected.				284	27	False	False
128					0	0	False	False
129	Figures	Heading1			7	1	False	False
130	Figure 1	Heading2			8	2	True	False
131					0	0	False	False
132	Figure 1. Multi-context host-omics framework for reconstructing urinary tract infection host-response architecture. Public datasets representing a recurrence-trigger bladder model, pregnancy-associated UTI tissues, a repaired human urine inflammatory comparator, and UPEC-responsive single-cell immune data were organized into a harmonized module-scoring workflow. Matrices were inspected and repaired where possible, harmonized to gene-level features, and scored using a curated UTI host-response module library. Cross-cohort module priorities were integrated with sample-level and cell-distribution single-cell UPEC validation to identify broadly supported and context-dependent host-response modules.				703	80	True	False
133	Figure 2	Heading2			8	2	True	False
134					0	0	False	False
135	Figure 2. Integrated cross-cohort module atlas. Context-by-module heatmap showing signed module-score deltas across recurrence-trigger, pregnancy-associated UTI, and repaired human urine comparator contexts. The figure highlights recurrent but context-dependent directionality across innate sensing, inflammatory cell-death, myeloid, neutrophil, hormonal, oxidative-stress, and transcriptionally inferred metabolic activity modules.				432	44	True	False
136	Figure 3	Heading2			8	2	True	False
137					0	0	False	False
138	Figure 3. Cross-cohort atlas with single-cell UPEC validation. Integrated heatmap combining cross-cohort module deltas with GSE252321 single-cell UPEC-versus-control validation deltas. Sample-level single-cell contrasts summarize two control and two UPEC biological samples, whereas cell-level contrasts are interpreted as validation distributions because cells are nested within biological samples.				399	46	True	False
139	Figure 4	Heading2			8	2	True	False
140					0	0	False	False
141	Figure 4. Prioritized single-cell-validated UTI host-response modules. Ranked barplot of modules prioritized by integrated cross-cohort and single-cell validation support. Top modules include neutrophil/NETosis, type-I-interferon/IRF, TLR4/LPS, NLRP3/pyroptosis, TLR5/flagellin, necroptosis, complement/coagulation/antimicrobial defense, NF-kB/MAPK, macrophage/DC activation, glucocorticoid signaling, and oxytocin/pregnancy signaling.				435	48	True	False
142	Figure 5	Heading2			8	2	True	False
143					0	0	False	False
144	Figure 5. Pregnancy-associated UTI module architecture. Module-score contrast heatmap for the GSE280297 pregnancy-associated UTI model across bladder, uterus, and placenta contexts. The figure summarizes tissue-specific shifts in innate-sensing, inflammatory cell-death, hormonal-response, oxidative-stress, barrier, and transcriptionally inferred metabolic activity modules.				375	39	True	False
145	Figure 6	Heading2			8	2	True	False
146					0	0	False	False
147	Figure 6. Single-cell UPEC validation layer. GSE252321 single-cell module-score validation across Control_1, Control_2, UPEC_1, and UPEC_2 matrices. UPEC-exposed cells showed higher module scores for innate sensing, neutrophil/NETosis, NLRP3/pyroptosis, necroptosis, interferon-like, NF-kB/MAPK, glucocorticoid, and oxytocin/pregnancy-linked modules, while TCA/OXPHOS showed lower single-cell directionality relative to controls.				429	49	True	False
148					0	0	False	False
149	Primary figure assets used in this DOCX draft	Heading1			45	8	False	False
150					0	0	False	False
151	Open issues retained for final submission	Heading1			41	6	False	False
152					0	0	False	False
153	Reference table for Zotero finalization	Heading1			39	5	False	False
154	This table is included for drafting and Zotero finalization only. Before submission, citation keys should be replaced with the target journal reference style.				158	23	False	False
